ncurses-5.7.tar.gz;ftp://ftp.gnu.org/gnu/ncurses/ncurses-5.7.tar.gz
omniORB-4.1.3.tar.gz;http://downloads.sourceforge.net/omniorb/omniORB-4.1.3.tar.gz
omniORB-4.1.4.tar.gz;http://omniorb.sourceforge.net/releases/omniORB-4.1.4.tar.gz
omnipython-x86_win32.zip;http://downloads.sourceforge.net/omniorb/omnipython-x86_win32.zip
org.eclemma.runtime.equinox_1.1.0.200908261008.zip;http://sourceforge.net/projects/eclemma/files/06_EclEmma_Runtime_for_Equinox/1.1.0/org.eclemma.runtime.equinox_1.1.0.200908261008.zip/download
pdc34dlls.zip;http://downloads.sourceforge.net/pdcurses/pdc34dlls.zip
Python-2.3.3.tgz;http://www.python.org/ftp/python/2.3.3/Python-2.3.3.tgz
regex-0.12-MSYS-1.0.11-1.tar.bz2;http://downloads.sourceforge.net/mingw/regex-0.12-MSYS-1.0.11-1.tar.bz2
rhino1_7R2.zip;ftp://ftp.mozilla.org/pub/mozilla.org/js/rhino1_7R2.zip
w32api-3.9.tar.gz;http://heanet.dl.sourceforge.net/sourceforge/mingw/w32api-3.9.tar.gz
wine-1.1.19-2.1.i586.rpm;http://download.opensuse.org/repositories/Emulators:/Wine/SLES9_and_NLD9/i586/wine-1.1.19-2.1.i586.rpm
WinSDKBuild-WinSDKBuild_VistaLibs_X86-common.0.cab;X
xerces-c-src_2_8_0.tar.gz;http://apache.eu.lucid.dk/xerces/c/2/sources/xerces-c-src_2_8_0.tar.gz
Xerces-J-bin.2.6.2.tar.gz;http://archive.apache.org/dist/xml/xerces-j/binaries/Xerces-J-bin.2.6.2.tar.gz
zlib-1.1.4.win32.zip;http://xmlsoft.org/sources/win32/oldreleases/zlib-1.1.4.win32.zip
